Authors,Titles,Profiles,Publications,Year of Publication
"Clark, C. C. T.","The association between dietary inflammatory index, muscle strength, muscle endurance, and body composition in Iranian adults",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-inflammatory-index-muscle-strengt,Mar 2022
"Clark, C. C. T.",The association between dietary total antioxidant capacity with risk of rheumatoid arthritis in adults: A case–control study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-total-antioxidant-capacity-with-r,Oct 2022
"Clark, C. C. T.",The association between Healthy Beverage Index and psychological disorders among overweight and obese women: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-psychological-,Dec 2022
"Clark, C. C. T.",The association between lunch composition and obesity in Iranian adults,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-lunch-composition-and-obesity-in-iranian-,28 May 2022
"Clark, C. C. T.",The association between modified Nordic diet with sleep quality and circadian rhythm in overweight and obese woman: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-modified-nordic-diet-with-sleep-quality-a,Jun 2022
"Clark, C. C. T.",The association between recommended and non-recommended food scores on cardiovascular risk factors in obese and overweight adult women: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-recommended-and-non-recommended-food-scor,Dec 2022
"Clark, C. C. T.",The association between the Healthy Eating Index (HEI-2015) score and body composition among Iranian soccer players and referees: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-the-healthy-eating-index-hei-2015-score-a,11 Jul 2022
"Clark, C. C. T.",The association between urinary metabolites of polycyclic aromatic hydrocarbons (PAHs) and cardiovascular diseases and blood pressure: a systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-urinary-metabolites-of-polycyclic-aromati,Jan 2022
"Clark, C. C. T.","The association of appetite and hormones (leptin, ghrelin, and Insulin) with resting metabolic rate in overweight/ obese women: a case–control study",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-appetite-and-hormones-leptin-ghrelin-and-insul,Dec 2022
"Clark, C. C. T.",The association of Carbohydrate Quality Index with cardiovascular disease risk factors among women with overweight and obesity: A cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-carbohydrate-quality-index-with-cardiovascular,8 Sep 2022
"Clark, C. C. T.",The association of dietary acid load with resting metabolic rate and metabolic components in overweight and obese women: A cross sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-dietary-acid-load-with-resting-metabolic-rate-,Feb 2022
"Clark, C. C. T.","The Association of Inflammatory Markers, IL-1α and TGF-β, with Dietary Insulin Load and Dietary Insulin Index in Overweight and Obese Women with Healthy and Unhealthy Metabolic Phenotypes: A Cross-Sectional Study",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-inflammatory-markers-il-1%CE%B1-and-tgf-%CE%B2-with-diet,13 Oct 2022
"Kurmi, O. P.","The burden of injury in Central, Eastern, and Western European sub-region: a systematic analysis from the Global Burden of Disease 2019 Study",https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/the-burden-of-injury-in-central-eastern-and-western-european-sub-,20 May 2022
"Patel, R.,Jong, J.,Lycett, D.",The development of the Religious Health Interventions in Behavioural Science (RHIBS) Taxonomy: a scientific classification of religious practices in health,"https://pureportal.coventry.ac.uk/en/persons/riya-patel,https://pureportal.coventry.ac.uk/en/persons/jonathan-jong,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett",https://pureportal.coventry.ac.uk/en/publications/the-development-of-the-religious-health-interventions-in-behaviou,25 Aug 2022
"Clark, C. C. T.",The effectiveness of nutritional interventions on COVID-19 outcomes: A protocol for systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effectiveness-of-nutritional-interventions-on-covid-19-outcom,Jun 2022
"Clarck, C. T.",The effect of 8 weeks of combined interval (resistance-interval training) and combined endurance (endurance-resistance training) on plasma levels of adropin and nitric oxide in males with high blood pressure,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-8weeks-of-combined-interval-resistance-interval-tra,14 Jan 2022
"Clark, C. C. T.","The effect of curcumin supplementation on delayed‐onset muscle soreness, inflammation, muscle strength, and joint flexibility: A systematic review and dose–response meta‐analysis of randomized controlled trials",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-curcumin-supplementation-on-delayedonset-muscle-sor,16 May 2022
"Clark, C. C. T.",The effect of Glucomannan on fasting and postprandial blood glucose in adults: a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-glucomannan-on-fasting-and-postprandial-blood-gluco,Jun 2022
"Clark, C. C. T.",The effect of grape products on liver enzymes: A systematic review and meta‐analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-grape-products-on-liver-enzymes-a-systematic-review,20 Oct 2022
"Clark, C. C. T.",The effect of lycopene supplement from different sources on prostate specific antigen (PSA): A systematic review and meta-analysis of randomized controlled trials ,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-lycopene-supplement-from-different-sources-on-prost,11 Jan 2022
"Clark, C. C. T.",The Effect of Probiotics/synbiotics Supplementation on Renal and Liver Biomarkers in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomized-Controlled Trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-probioticssynbiotics-supplementation-on-renal-and-l,28 Aug 2022
"Clark, C. C. T.",The Effect of Single-Anastomosis Sleeve Ileal (SASI) Bypass on Patients with Severe Obesity in Three Consecutive Years,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-single-anastomosis-sleeve-ileal-sasi-bypass-on-pati,Nov 2022
"Clark, C. C. T.","The effect of Spirulina sauce, as a functional food, on cardiometabolic risk factors, oxidative stress biomarkers, glycemic profile, and liver enzymes in nonalcoholic fatty liver disease patients: A randomized double-blinded clinical trial",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-spirulina-sauce-as-a-functional-food-on-cardiometab,Feb 2022
"Clark, C. C. T.",The Effect of Sub-chronic Administration of Brewed Coffee on Long-term Potentiation in a Rat Model of Alzheimer's Disease,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-sub-chronic-administration-of-brewed-coffee-on-long,Jul 2022
"Clark, C. C. T.","The effect of synbiotic supplementation on atherogenic indices, hs-CRP, and malondialdehyde, as major CVD-related parameters, in women with gestational diabetes mellitus: a secondary data-analysis of a randomized double-blind, placebo-controlled study",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-synbiotic-supplementation-on-atherogenic-indices-hs,21 Jun 2022
"Clark, C. C. T.","The effect of the Dietary Approaches to Stop Hypertension (DASH) diet on body composition, complete blood count, prothrombin time, inflammation, and liver function in hemophilic adolescents",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-the-dietary-approaches-to-stop-hypertension-dash-di,14 Nov 2022
"Clark, C. C. T.",The effect of vitamin D supplementation on serum levels of fibroblast growth factor- 23: A systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-vitamin-d-supplementation-on-serum-levels-of-fibrob,Jan 2022
"Clark, C. C. T.",The Effect of Walnut (,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-walnut-ijuglans-regiai-leaf-extract-on-glycemic-con,25 Apr 2022
"Clark, C. C. T.",The effect of whole body vibration on sensorimotor deficits in people with chronic ankle instability: A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-whole-body-vibration-on-sensorimotor-deficits-in-pe,Aug 2022
"Clark, C. C. T.",The effects of capsinoids supplementation on body composition and anthropometric measures: A systematic review and dose–response meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-capsinoids-supplementation-on-body-composition-and,22 Sep 2022
"Adegboye, A. R. A.",The Effects of COVID-19 Lockdown on Glycaemic Control and Lipid Profile in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-covid-19-lockdown-on-glycaemic-control-and-lipid-p,19 Jan 2022
"Clark, C. C. T.",The effects of folic acid supplementation on depression in adults: a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-folic-acid-supplementation-on-depression-in-adults,29 Jul 2022
"Clark, C. C. T.","The effects of guar gum supplementation on lipid profile in adults: A GRADE-assessed systematic review, meta-regression, and dose-response meta-analysis of randomized placebo-controlled trials",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-guar-gum-supplementation-on-lipid-profile-in-adult,15 Jul 2022
"Clark, C. C. T.",The effects of lycopene supplementation on insulin-like growth factor-1 and insulin-like growth factor binding proteins: A systematic review of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-lycopene-supplementation-on-insulin-like-growth-fa,Apr 2022
"Clark, C. C. T.","The effects of magnesium supplementation on abnormal uterine bleeding, alopecia, quality of life, and acne in women with polycystic ovary syndrome:  a randomized clinical trial",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-magnesium-supplementation-on-abnormal-uterine-blee,2 Aug 2022
"Clark, C. C. T.",The effects of olive leaf extract on cardiovascular risk factors in the general adult population: a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-olive-leaf-extract-on-cardiovascular-risk-factors-,Dec 2022
"Clark, C. C. T.",The effects of selenium supplementation on blood lipids and blood pressure in adults:  A systematic review and dose-response meta-analysis of randomized control trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-selenium-supplementation-on-blood-lipids-and-blood,Dec 2022
"Clark, C. C. T.","The efficacy and safety of zinc gluconate supplementation on quality of life, sleep quality, and serum albumin in hemodialysis patients: A randomized clinical trial",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-efficacy-and-safety-of-zinc-gluconate-supplementation-on-qual,Oct 2022
"Whelan, M.",The English National Health Service Diabetes Prevention Programme (NHS DPP): A scoping review of existing evidence,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/the-english-national-health-service-diabetes-prevention-programme,Jul 2022
,"The global burden of cancer attributable to risk factors, 2010–19: a systematic analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/the-global-burden-of-cancer-attributable-to-risk-factors-201019-a,20 Aug 2022
"Carter, G.",The Impact of Technology-Facilitated Sexual Violence: A Literature Review of Qualitative Research,https://pureportal.coventry.ac.uk/en/persons/grace-carter,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-technology-facilitated-sexual-violence-a-literature,Jan 2022
"Clark, C. C. T.","The influence of maturation, fitness, and hormonal indices on minutes played in elite youth soccer players: a cross-sectional study",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-maturation-fitness-and-hormonal-indices-on-minut,17 May 2022
"Clark, C. C. T.","The interaction between rs 3,807,992 genotypes with the dietary inflammatory index on Leptin, Leptin resistance, and Galectin 3 in obese and overweight women",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-interaction-between-rs-3807992-genotypes-with-the-dietary-inf,Dec 2022
"Clark, C. C. T.",The relationship between animal flesh foods consumption and rheumatoid arthritis:  a case-control study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-animal-flesh-foods-consumption-and-rheum,30 Jul 2022
"Clark, C. C. T.",The relationship between dietary acid load and intensity of musculoskeletal pain condition: A population‐based study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-acid-load-and-intensity-of-muscu,Aug 2022
"Clark, C. C. T.",The relationship between dietary nutrients patterns and intensity and duration of migraine headaches,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-nutrients-patterns-and-intensity,17 Jan 2022
"Clark, C. C. T.",The relationship between dietary phytochemical index and resting metabolic rate mediated by inflammatory factors in overweight and obese women: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-phytochemical-index-and-resting-,Dec 2022
"Clark, C. C. T.","The relationship between dietary sulfur amino acids intake and severity and frequency of pain in Iranian patients with musculoskeletal pains, 2020",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-sulfur-amino-acids-intake-and-se,10 Jan 2022
"Wang, J.",Toward Fairness-Aware Time-Sensitive Asynchronous Federated Learning for Critical Energy Infrastructure,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/toward-fairness-aware-time-sensitive-asynchronous-federated-learn,1 May 2022
"Clark, C. C. T.",Training and fitness variability in elite youth soccer: perspectives from a difficulty prediction model,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/training-and-fitness-variability-in-elite-youth-soccer-perspectiv,18 Mar 2022
"Magee, P.,Woodcock, A.",Understanding gender and diversity sensitive smart mobility needs without access to users: The impact of COVID-19 pandemic on TInnGO design outcomes,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/andree-woodcock",https://pureportal.coventry.ac.uk/en/publications/understanding-gender-and-diversity-sensitive-smart-mobility-needs,18 Mar 2022
"Xu, Y.,Liu, H.,Zheng, D.",Uterus Modeling from Cell to Organ Level: towards Better Understanding of Physiological Basis of Uterine Activity,"https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/uterus-modeling-from-cell-to-organ-level-towards-better-understan,2022
"Saeed, U.,Shah, S. A.",UWB Radar Sensing for Respiratory Monitoring Exploiting Time- Frequency Spectrograms,"https://pureportal.coventry.ac.uk/en/persons/umer-saeed,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah",https://pureportal.coventry.ac.uk/en/publications/uwb-radar-sensing-for-respiratory-monitoring-exploiting-time-freq,May 2022
"Allen, J.",Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/validation-of-a-standardised-duplex-ultrasound-classification-sys,1 Aug 2022
"Liu, H.,Zheng, D.",Validation of Computational Simulation for Tumor-treating Fields with Homogeneous Phantom,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/validation-of-computational-simulation-for-tumor-treating-fields-,8 Sep 2022
"Clark, C. C. T.",Validation of the Persian version of the sarcopenia-specific quality of life questionnaire (SarQoL        ®-IR).,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/validation-of-the-persian-version-of-the-sarcopenia-specific-qual,26 Oct 2022
"Wilde, L. J.,Sewell, L.,Percy, C.,Clark, C.",What Are the Experiences of People with COPD Using Activity Monitors?: A Qualitative Scoping Review,"https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,https://pureportal.coventry.ac.uk/en/persons/louise-sewall,https://pureportal.coventry.ac.uk/en/persons/carol-percy,https://pureportal.coventry.ac.uk/en/persons/cain-clark",https://pureportal.coventry.ac.uk/en/publications/what-are-the-experiences-of-people-with-copd-using-activity-monit,31 Dec 2022
"Shah, S. A.",Wireless Sensing for Human Activity Recognition Using USRP,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/wireless-sensing-for-human-activity-recognition-using-usrp,11 Feb 2022
"Clark, C. C. T.",Zinc in depression: From development to treatment: A comparative/ dose response meta-analysis of observational studies and randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/zinc-in-depression-from-development-to-treatment-a-comparative-do,1 Jan 2022
"Wilde, L. J.,Clark, C.,Percy, C.,Sewell, L.",“Addicted to the tracker”?: Experiences of people with Chronic Obstructive Pulmonary Disease (COPD) using activity trackers,"https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/carol-percy,https://pureportal.coventry.ac.uk/en/persons/louise-sewall",https://pureportal.coventry.ac.uk/en/publications/addicted-to-the-tracker-experiences-of-people-with-chronic-obstru,25 Mar 2022
"Jerebine, A.,Eyre, E. L. J.,Duncan, M. J.","“ All the fun stuff, the teachers say, ‘that’s dangerous! ’” Hearing from children on safety and risk in active play in schools:  a systematic review","https://pureportal.coventry.ac.uk/en/persons/alethea-gabriel-jerebine,https://pureportal.coventry.ac.uk/en/persons/emma-eyre,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/all-the-fun-stuff-the-teachers-say-thats-dangerous-hearing-from-c,25 Jun 2022
"Jerebine, A.,Eyre, E. L. J.,Duncan, M. J.",“Children are precious cargo; we don’t let them take any risks!”: Hearing from adults on safety and risk in children’s active play in schools: a systematic review,"https://pureportal.coventry.ac.uk/en/persons/alethea-gabriel-jerebine,https://pureportal.coventry.ac.uk/en/persons/emma-eyre,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/children-are-precious-cargo-we-dont-let-them-take-any-risks-heari,Dec 2022
"Clark, C.,Duncan, M.",24-hour movement behaviors and fitness in preschoolers: A compositional and isotemporal reallocation analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/24-hour-movement-behaviors-and-fitness-in-preschoolers-a-composit,Jun 2021
"Clark, C.,Duncan, M.",24-hour movement behaviour and executive function in preschoolers: a compositional and isotemporal reallocation analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/24-hour-movement-behaviour-and-executive-function-in-preschoolers,2021
"Whelan, M.,Brookes Smith, C. J.,Bisal, N. L.",A button that tells your boss you’re unhappy: why mental health wearables could be bad news at work,"https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/persons/celine-brookes-smith,https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal",https://pureportal.coventry.ac.uk/en/publications/a-button-that-tells-your-boss-youre-unhappy-why-mental-health-wea,8 Feb 2021
"Clark, C. C. T.","A case-control study of Dietary Approaches to Stop Hypertension (DASH) diets, colorectal cancer and adenomas among Iranian population",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/a-case-control-study-of-dietary-approaches-to-stop-hypertension-d,25 Sep 2021
"Szczepura, A.",Accessible virtual arts recreation for wellbeing promotion in long-term care residents,https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,https://pureportal.coventry.ac.uk/en/publications/accessible-virtual-arts-recreation-for-wellbeing-promotion-in-lon,May 2021
"Clark, C. C. T.,Duncan, M.",Acute Effects of Different Plyometric and Strength Exercises on Balance Performance in Youth Weightlifters,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/acute-effects-of-different-plyometric-and-strength-exercises-on-b,14 Sep 2021
"Whelan, M.",A digital lifestyle behaviour change intervention for the prevention of type 2 diabetes: A qualitative study exploring intuitive engagement with real-time glucose and physical activity feedback,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/a-digital-lifestyle-behaviour-change-intervention-for-the-prevent,12 Jan 2021
"Wright, H.,Clark, C.,Turner, A.",A Digital Self-management Program (Help to Overcome Problems Effectively) for People Living With Cancer: Feasibility Randomized Controlled Trial ,"https://pureportal.coventry.ac.uk/en/persons/hayley-wright,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/andy-turner",https://pureportal.coventry.ac.uk/en/publications/a-digital-self-management-program-help-to-overcome-problems-effec,5 Nov 2021
"Szczepura, A. K.,Kneafsey, R.",Adult social care in England: revive the role of gerontological nurse specialist,"https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey",https://pureportal.coventry.ac.uk/en/publications/adult-social-care-in-england-revive-the-role-of-gerontological-nu,22 Oct 2021
"Clark, C. C. T.","Adverse Effects and Safety of Etirinotecan Pegol, a Novel Topoisomerase Inhibitor, In Cancer Treatment: A Systematic Review",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/adverse-effects-and-safety-of-etirinotecan-pegol-a-novel-topoisom,Aug 2021
"Fathollahi, A.,Khasteganan, N.,Coupe, S. J.",A meta-analysis of metal biosorption by suspended bacteria from three phyla,"https://pureportal.coventry.ac.uk/en/persons/alireza-fathollahi,https://pureportal.coventry.ac.uk/en/persons/nazanin-khasteganan,https://pureportal.coventry.ac.uk/en/persons/steve-coupe",https://pureportal.coventry.ac.uk/en/publications/a-meta-analysis-of-metal-biosorption-by-suspended-bacteria-from-t,1 Apr 2021
"Clark, C.",A negative association of dietary advanced glycation end products with obesity and body composition in Iranian adults,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/a-negative-association-of-dietary-advanced-glycation-end-products,28 Feb 2021
,Anemia prevalence in women of reproductive age in low- and middle-income countries between 2000 and 2018,,https://pureportal.coventry.ac.uk/en/publications/anemia-prevalence-in-women-of-reproductive-age-in-low-and-middle-,12 Oct 2021
"Clark, C. C. T.,Duncan, M. J.",A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/a-network-perspective-on-the-relationship-between-moderate-to-vig,25 May 2021
"Percy, C.,Turner, A.",An interpretative phenomenological study exploring the lived experiences of participation in a mindfulness and compassion course,"https://pureportal.coventry.ac.uk/en/persons/carol-percy,https://pureportal.coventry.ac.uk/en/persons/andy-turner",https://pureportal.coventry.ac.uk/en/publications/an-interpretative-phenomenological-study-exploring-the-lived-expe,30 Jun 2021
"Wright, H.",A ray of HOPE: digital self-management for people living with cancer during COVID-19,https://pureportal.coventry.ac.uk/en/persons/hayley-wright,https://pureportal.coventry.ac.uk/en/publications/a-ray-of-hope-digital-self-management-for-people-living-with-canc,26 Jan 2021
"Clark, C. C. T.",Association between ACTN3 R577X genotype and risk of non-contact injury in trained athletes: A systematic review,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/association-between-actn3-r577x-genotype-and-risk-of-non-contact-,17 Jul 2021
"Clark, C. C. T.",Association between carbohydrate quality index and general and central obesity in adults: A population-based study in Iran,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/association-between-carbohydrate-quality-index-and-general-and-ce,Dec 2021
"Clark, C. C. T.",Association Between Mental Imagery and Change of Direction Performance in Young Elite Soccer Players of Different Maturity Status,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/association-between-mental-imagery-and-change-of-direction-perfor,10 Jun 2021
"Clark, C. C. T.,Duncan, M.","Association between physical education classes and physical activity among 187,386 adolescents aged 13-17 years from 50 low- and middle-income countries","https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/association-between-physical-education-classes-and-physical-activ,1 Sep 2021
"Clark, C.",Association of Vitamin D Status with SARS-CoV-2 Infection or COVID-19 Severity: A Systematic Review and Meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/association-of-vitamin-d-status-with-sars-cov-2-infection-or-covi,Sep 2021
"Clark, C. C. T.,Duncan, M. J.",Associations between movement behaviours and obesity markers among preschoolers compliant and non-compliant with sleep duration: A latent profile analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/associations-between-movement-behaviours-and-obesity-markers-amon,8 Sep 2021
"Clark, C. C. T.",Associations Between Variations in Accumulated Workload and Physiological Variables in Young Male Soccer Players Over the Course of a Season,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/associations-between-variations-in-accumulated-workload-and-physi,18 Mar 2021
,Associations of toothbrushing behaviour with risks of vascular and nonvascular diseases in Chinese adults,,https://pureportal.coventry.ac.uk/en/publications/associations-of-toothbrushing-behaviour-with-risks-of-vascular-an,Dec 2021
"Clark, C. C. T.",A Systematic Review and Meta-analysis of the Medical Error Rate in Iran: 2005-2019,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/a-systematic-review-and-meta-analysis-of-the-medical-error-rate-i,Jul 2021
